City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max_Temp,Wind_Speed
Bethel,1,US,1970-01-01 00:00:01.556124780,85,60.79,-161.76,-6.0,1.5
Thompson,75,CA,1970-01-01 00:00:01.556121600,57,55.74,-97.86,10.0,8.2
Kahului,40,US,1970-01-01 00:00:01.556125240,78,20.89,-156.47,23.0,5.1
Songea,100,TZ,1970-01-01 00:00:01.556125691,87,-10.68,35.65,18.95,1.9
Biltine,67,TD,1970-01-01 00:00:01.556125692,3,14.53,20.93,33.25,4.73
San Cristobal,90,EC,1970-01-01 00:00:01.556125211,77,-0.39,-78.55,16.0,3.6
Shubarshi,91,KZ,1970-01-01 00:00:01.556125692,50,48.59,57.19,11.45,3.77
Ambilobe,100,MG,1970-01-01 00:00:01.556125693,75,-13.19,49.05,25.95,5.41
Cayenne,100,GF,1970-01-01 00:00:01.556123400,94,4.94,-52.33,26.0,3.85
Ajdabiya,91,LY,1970-01-01 00:00:01.556125578,31,30.75,20.22,25.95,7.82
Upernavik,100,GL,1970-01-01 00:00:01.556125694,90,72.79,-56.15,-11.25,2.63
Bom Jesus da Lapa,35,BR,1970-01-01 00:00:01.556125694,41,-13.25,-43.41,31.65,2.36
Fukue,75,JP,1970-01-01 00:00:01.556125551,93,35.03,136.69,20.56,7.2
Mitsamiouli,90,KM,1970-01-01 00:00:01.556121600,88,-11.38,43.28,27.0,7.7
Allapalli,30,IN,1970-01-01 00:00:01.556125695,20,19.43,80.06,35.05,1.54
Husavik,100,CA,1970-01-01 00:00:01.556125512,29,50.56,-96.99,18.33,7.6
Matay,37,EG,1970-01-01 00:00:01.556125696,16,28.42,30.79,25.85,10.64
Sao Filipe,4,CV,1970-01-01 00:00:01.556125696,79,14.9,-24.5,21.65,7.89
Poum,40,MK,1970-01-01 00:00:01.556123400,55,41.28,20.71,17.0,1.0
Cabedelo,75,BR,1970-01-01 00:00:01.556121600,66,-6.97,-34.84,31.0,7.2
Bonthe,81,SL,1970-01-01 00:00:01.556125697,58,7.53,-12.5,30.25,5.52
Nanortalik,17,GL,1970-01-01 00:00:01.556125697,61,60.14,-45.24,-4.15,15.88
Praya,20,ID,1970-01-01 00:00:01.556121600,94,-8.71,116.27,25.0,2.6
Verkhnyaya Inta,57,RU,1970-01-01 00:00:01.556125698,91,65.99,60.32,-8.55,3.28
Torrox,75,ES,1970-01-01 00:00:01.556125631,67,36.76,-3.95,18.89,7.2
Lisala,74,CD,1970-01-01 00:00:01.556125699,48,2.15,21.52,28.25,1.43
Morant Bay,75,JM,1970-01-01 00:00:01.556121600,54,17.88,-76.41,29.0,2.6
Ola,80,RU,1970-01-01 00:00:01.556125700,87,59.58,151.3,-0.85,2.53
Carnarvon,77,ZA,1970-01-01 00:00:01.556125700,49,-30.97,22.13,16.25,2.73
Makakilo City,75,US,1970-01-01 00:00:01.556125435,73,21.35,-158.09,24.0,1.5
Pontianak,100,ID,1970-01-01 00:00:01.556125701,74,-0.02,109.34,28.55,0.91
Hilo,90,US,1970-01-01 00:00:01.556125524,88,19.71,-155.08,21.11,2.1
Lac du Bonnet,100,CA,1970-01-01 00:00:01.556125512,29,50.25,-96.06,18.33,7.6
Georgetown,75,GY,1970-01-01 00:00:01.556121600,74,6.8,-58.16,31.0,6.2
Faya,40,SA,1970-01-01 00:00:01.556121600,35,18.39,42.45,22.0,1.5
Alofi,100,NU,1970-01-01 00:00:01.556121600,83,-19.06,-169.92,25.0,5.1
Kintampo,100,GH,1970-01-01 00:00:01.556125703,51,8.05,-1.73,32.25,3.08
Las Cruces,75,CL,1970-01-01 00:00:01.556121600,93,-33.5,-71.62,14.0,1.0
Saint-Philippe,90,CA,1970-01-01 00:00:01.556125657,100,45.36,-73.48,7.78,6.2
Belaya Gora,0,RU,1970-01-01 00:00:01.556125704,94,68.54,146.19,-8.15,3.75
Kavieng,56,PG,1970-01-01 00:00:01.556125705,73,-2.57,150.8,29.15,2.93
Madang,78,PG,1970-01-01 00:00:01.556125705,99,-5.21,145.81,21.75,0.22
Bazarnyye Mataki,0,RU,1970-01-01 00:00:01.556125705,66,54.9,49.93,11.95,3.8
Trinidad,90,UY,1970-01-01 00:00:01.556121600,77,-33.52,-56.9,21.0,4.1
Ilulissat,75,GL,1970-01-01 00:00:01.556121000,72,69.22,-51.1,-9.0,6.2
Cidreira,0,BR,1970-01-01 00:00:01.556125706,59,-30.17,-50.22,27.35,1.97
Kavaratti,48,IN,1970-01-01 00:00:01.556125707,74,10.57,72.64,29.75,5.26
Orlik,0,RU,1970-01-01 00:00:01.556125707,62,52.51,99.83,-8.15,1.81
Saint Anthony,75,US,1970-01-01 00:00:01.556125529,58,43.97,-111.68,13.89,6.2
Karasjok,75,NO,1970-01-01 00:00:01.556122800,86,69.47,25.52,5.0,1.5
Henties Bay,0,NA,1970-01-01 00:00:01.556125323,93,-22.12,14.28,12.22,0.45
Novoagansk,92,RU,1970-01-01 00:00:01.556125708,93,61.94,76.66,-13.15,3.87
Talnakh,75,RU,1970-01-01 00:00:01.556121600,84,69.49,88.39,-18.0,6.0
Lerwick,40,GB,1970-01-01 00:00:01.556122800,76,60.15,-1.15,12.0,8.7
Victoria,75,BN,1970-01-01 00:00:01.556123400,74,5.28,115.24,29.0,3.6
Vangaindrano,94,MG,1970-01-01 00:00:01.556125710,95,-23.35,47.6,22.75,1.47
Ocampo,24,PH,1970-01-01 00:00:01.556125710,83,13.56,123.37,24.75,2.26
La Ronge,5,CA,1970-01-01 00:00:01.556121600,37,55.1,-105.3,11.0,7.2
Huarmey,100,PE,1970-01-01 00:00:01.556125711,88,-10.07,-78.15,21.35,7.01
Mildura,0,AU,1970-01-01 00:00:01.556125239,71,-34.18,142.16,13.0,3.1
Mar del Plata,0,AR,1970-01-01 00:00:01.556125712,28,-46.43,-67.52,16.05,1.49
Tiksi,68,RU,1970-01-01 00:00:01.556125712,89,71.64,128.87,-2.05,6.36
Los Llanos de Aridane,40,ES,1970-01-01 00:00:01.556125529,60,28.66,-17.92,21.0,3.1
Salalah,0,OM,1970-01-01 00:00:01.556121000,66,17.01,54.1,29.0,2.6
Severo-Kurilsk,95,RU,1970-01-01 00:00:01.556125713,92,50.68,156.12,0.75,13.16
Douentza,20,ML,1970-01-01 00:00:01.556125714,20,15.01,-2.95,36.65,6.71
Fortuna,20,ES,1970-01-01 00:00:01.556125643,60,38.18,-1.13,21.11,4.1
Myitkyina,0,MM,1970-01-01 00:00:01.556125714,46,25.38,97.4,21.65,1.43
West Wendover,1,US,1970-01-01 00:00:01.556121360,59,40.74,-114.07,16.0,3.1
Aseri,0,EE,1970-01-01 00:00:01.556125715,54,59.45,26.87,11.85,3.19
Port Macquarie,0,AU,1970-01-01 00:00:01.556125505,100,-31.43,152.91,13.89,0.96
Deder,100,ET,1970-01-01 00:00:01.556125716,62,9.31,41.44,25.05,0.83
Timbuktu,0,ML,1970-01-01 00:00:01.556125716,11,16.77,-3.01,37.15,2.4
Kasempa,13,ZM,1970-01-01 00:00:01.556125716,75,-13.46,25.83,19.55,2.15
Taoudenni,0,ML,1970-01-01 00:00:01.556125716,12,22.68,-3.98,32.25,4.26
Coquimbo,90,CL,1970-01-01 00:00:01.556121600,63,-29.95,-71.34,16.0,1.0
Tecpan,40,GT,1970-01-01 00:00:01.556125216,57,14.76,-90.99,25.0,4.1
Lavrentiya,95,RU,1970-01-01 00:00:01.556125718,89,65.58,-170.99,-11.65,0.45
Ostrovnoy,100,RU,1970-01-01 00:00:01.556125718,94,68.05,39.51,1.25,4.81
Mattru,47,SL,1970-01-01 00:00:01.556125718,50,7.62,-11.83,31.45,4.34
Lanigan,0,CA,1970-01-01 00:00:01.556125718,27,51.85,-105.03,13.95,7.57
Chokurdakh,68,RU,1970-01-01 00:00:01.556125719,93,70.62,147.9,-6.25,2.64
Alyangula,0,AU,1970-01-01 00:00:01.556121600,94,-13.85,136.42,23.0,8.59
Saint George,20,GR,1970-01-01 00:00:01.556125402,67,39.45,22.34,18.0,4.6
Carballo,75,ES,1970-01-01 00:00:01.556125669,87,43.21,-8.69,13.33,4.6
College,75,US,1970-01-01 00:00:01.556125565,84,64.86,-147.8,0.56,1.5
Tilichiki,100,RU,1970-01-01 00:00:01.556125720,96,60.47,166.1,-0.65,2.54
Quatre Cocos,40,MU,1970-01-01 00:00:01.556125441,83,-20.21,57.76,26.0,2.1
Luba,3,PH,1970-01-01 00:00:01.556125721,79,17.32,120.7,26.65,0.52
Longyearbyen,75,NO,1970-01-01 00:00:01.556124600,64,78.22,15.63,1.0,8.7
Nara,75,JP,1970-01-01 00:00:01.556125459,100,34.68,135.8,18.89,0.5
Acajutla,2,SV,1970-01-01 00:00:01.556125528,60,13.59,-89.83,30.05,4.01
Luwuk,100,ID,1970-01-01 00:00:01.556125722,99,-0.95,122.79,19.55,0.72
Sambava,100,MG,1970-01-01 00:00:01.556125722,99,-14.27,50.17,22.35,1.12
Hami,73,CN,1970-01-01 00:00:01.556125723,29,42.84,93.51,18.15,0.96
Touros,40,BR,1970-01-01 00:00:01.556125200,74,-5.2,-35.46,30.0,4.6
Japura,100,ID,1970-01-01 00:00:01.556125724,98,-0.42,102.29,24.25,0.66
Tasiilaq,100,GL,1970-01-01 00:00:01.556121000,86,65.61,-37.64,1.0,23.7
Moose Factory,1,CA,1970-01-01 00:00:01.556121600,45,51.26,-80.61,6.0,2.1
Hasaki,75,JP,1970-01-01 00:00:01.556125397,93,35.73,140.83,18.0,4.6
Marsh Harbour,45,BS,1970-01-01 00:00:01.556125725,58,26.54,-77.06,22.95,3.62
Vieux Fort,75,LC,1970-01-01 00:00:01.556121600,70,13.72,-60.95,30.0,7.2
Leningradskiy,0,RU,1970-01-01 00:00:01.556125726,90,69.38,178.42,-14.35,4.26
Avera,1,US,1970-01-01 00:00:01.556125680,39,33.19,-82.53,29.44,5.7
Luderitz,0,NA,1970-01-01 00:00:01.556121600,72,-26.65,15.16,18.0,7.2
Yinchuan,9,CN,1970-01-01 00:00:01.556125705,14,38.48,106.21,15.56,0.89
Jalpan,50,MX,1970-01-01 00:00:01.556125563,30,19.0,-100.36,24.44,4.02
The Pas,0,CA,1970-01-01 00:00:01.556125727,29,53.82,-101.24,15.15,7.08
Kieta,51,PG,1970-01-01 00:00:01.556125728,80,-6.22,155.63,27.15,1.53
Ayagoz,99,KZ,1970-01-01 00:00:01.556125728,61,47.96,80.43,9.05,2.54
Bathsheba,40,BB,1970-01-01 00:00:01.556121600,66,13.22,-59.52,30.0,6.7
Ossora,87,RU,1970-01-01 00:00:01.556125729,90,59.24,163.07,-3.75,1.01
Athabasca,19,CA,1970-01-01 00:00:01.556125729,32,54.72,-113.29,8.85,7.02
Cockburn Town,54,TC,1970-01-01 00:00:01.556125645,62,21.46,-71.14,26.05,2.83
Jiblah,100,YE,1970-01-01 00:00:01.556125730,76,13.92,44.15,20.85,1.36
Ribeira Grande,20,PT,1970-01-01 00:00:01.556123400,55,38.52,-28.7,17.0,7.7
Fort Nelson,75,CA,1970-01-01 00:00:01.556121600,27,58.81,-122.69,5.0,6.7
Virovitica,40,HR,1970-01-01 00:00:01.556125253,68,45.83,17.39,20.0,3.6
Gamboma,72,CG,1970-01-01 00:00:01.556125731,56,-1.87,15.88,28.15,1.67
Goure,100,NE,1970-01-01 00:00:01.556125732,21,13.98,10.27,34.55,2.91
Les Cayes,0,HT,1970-01-01 00:00:01.556125732,73,18.19,-73.75,26.95,5.72
Petropavlovsk-Kamchatskiy,90,RU,1970-01-01 00:00:01.556121600,100,53.05,158.65,1.0,3.0
Aransas Pass,75,US,1970-01-01 00:00:01.556125692,78,27.91,-97.15,27.22,9.3
Gravdal,0,NO,1970-01-01 00:00:01.556125694,41,59.79,5.78,18.0,9.3
Calvia,0,ES,1970-01-01 00:00:01.556125243,59,39.57,2.51,18.0,6.2
Gisborne,43,NZ,1970-01-01 00:00:01.556125201,99,-38.66,178.02,15.56,4.84
Manggar,99,ID,1970-01-01 00:00:01.556125734,92,-2.88,108.27,24.35,1.01
Bograd,10,RU,1970-01-01 00:00:01.556123400,55,54.22,90.86,1.0,2.0
Tarko-Sale,99,RU,1970-01-01 00:00:01.556125666,72,64.92,77.78,-12.78,2.2
Mount Isa,0,AU,1970-01-01 00:00:01.556123400,60,-20.73,139.49,21.0,6.2
Havelock,1,US,1970-01-01 00:00:01.556125618,57,34.88,-76.9,29.44,5.7
Necochea,17,AR,1970-01-01 00:00:01.556125288,61,-38.55,-58.74,17.78,2.24
Svetlaya,41,RU,1970-01-01 00:00:01.556125736,46,46.54,138.33,0.75,2.94
Bandarbeyla,78,SO,1970-01-01 00:00:01.556125737,72,9.49,50.81,27.15,5.72
Togur,99,RU,1970-01-01 00:00:01.556125737,88,58.36,82.83,2.75,2.47
Dergachi,2,RU,1970-01-01 00:00:01.556125738,50,51.24,48.77,12.75,2.63
Sidi Ali,0,DZ,1970-01-01 00:00:01.556125738,62,36.1,0.42,17.15,3.65
Oschatz,0,DE,1970-01-01 00:00:01.556125663,49,51.3,13.11,23.33,5.7
Lebu,75,ET,1970-01-01 00:00:01.556121600,45,8.96,38.73,20.0,6.2
Esso,68,RU,1970-01-01 00:00:01.556125739,96,55.93,158.7,-8.05,2.35
Magadi,20,IN,1970-01-01 00:00:01.556125434,39,12.96,77.22,32.22,2.1
Northam,20,GB,1970-01-01 00:00:01.556125523,76,51.04,-4.21,13.33,6.7
Berlevag,40,NO,1970-01-01 00:00:01.556121000,75,70.86,29.09,5.0,2.6
Marawi,57,PH,1970-01-01 00:00:01.556125314,84,8.0,124.29,25.56,1.79
Raton,1,US,1970-01-01 00:00:01.556125504,44,36.9,-104.44,17.22,1.5
La Libertad,75,PE,1970-01-01 00:00:01.556121600,59,-16.38,-71.56,17.0,3.6
Ancud,0,CL,1970-01-01 00:00:01.556121600,54,-41.87,-73.83,14.0,5.1
Ferrol,75,ES,1970-01-01 00:00:01.556125442,87,43.48,-8.23,12.22,4.6
Nikolskoye,0,RU,1970-01-01 00:00:01.556125451,29,59.7,30.79,17.0,3.0
Leca da Palmeira,75,PT,1970-01-01 00:00:01.556125663,87,41.19,-8.7,14.44,3.6
Daram,71,NG,1970-01-01 00:00:01.556125744,39,9.98,13.15,33.45,1.04
Clyde River,75,CA,1970-01-01 00:00:01.556124000,70,70.47,-68.59,-17.0,3.1
Kabompo,54,ZM,1970-01-01 00:00:01.556125744,65,-13.6,24.21,21.75,1.53
Fairbanks,75,US,1970-01-01 00:00:01.556125565,84,64.84,-147.72,0.56,1.5
Raudeberg,20,NO,1970-01-01 00:00:01.556122800,52,61.99,5.14,19.0,9.8
Terre-de-Bas,90,GP,1970-01-01 00:00:01.556123400,65,15.85,-61.64,28.0,3.1
Rapid City,75,US,1970-01-01 00:00:01.556125680,45,44.08,-103.23,20.0,5.7
Lorengau,57,PG,1970-01-01 00:00:01.556125745,81,-2.02,147.27,26.55,1.55
Kupang,78,ID,1970-01-01 00:00:01.556125746,74,-10.16,123.6,27.85,6.92
Havoysund,75,NO,1970-01-01 00:00:01.556122800,86,71.0,24.66,6.0,2.6
Kysyl-Syr,100,RU,1970-01-01 00:00:01.556125746,94,63.9,122.77,-2.25,3.1
Saldanha,91,PT,1970-01-01 00:00:01.556125746,79,41.42,-6.55,9.65,8.52
Nortelandia,37,BR,1970-01-01 00:00:01.556125747,60,-14.45,-56.8,31.65,2.2
Anadyr,0,RU,1970-01-01 00:00:01.556125396,77,64.73,177.51,-16.0,3.0
Muswellbrook,3,AU,1970-01-01 00:00:01.556125206,95,-32.27,150.89,14.44,1.05
Olga,1,US,1970-01-01 00:00:01.556125735,64,34.11,-118.17,22.78,2.39
Celestun,0,MX,1970-01-01 00:00:01.556125748,76,20.87,-90.4,28.15,0.56
Araouane,0,ML,1970-01-01 00:00:01.556125748,10,18.9,-3.53,34.45,2.79
Big Spring,90,US,1970-01-01 00:00:01.556125521,87,32.25,-101.48,14.0,4.1
Tutoia,20,BR,1970-01-01 00:00:01.556121600,63,-2.76,-42.27,34.0,3.6
Neftcala,5,AZ,1970-01-01 00:00:01.556125750,55,39.37,49.25,10.95,4.98
Kholtoson,11,RU,1970-01-01 00:00:01.556125750,62,50.3,103.31,-3.45,0.65
Kenmare,75,IE,1970-01-01 00:00:01.556123400,66,51.88,-9.58,13.0,4.6
Benguela,20,AO,1970-01-01 00:00:01.556121600,88,-12.58,13.4,26.0,2.1
Aklavik,20,CA,1970-01-01 00:00:01.556121600,72,68.22,-135.01,-12.0,5.1
Bubaque,1,GW,1970-01-01 00:00:01.556125751,77,11.28,-15.83,24.85,8.57
Esperance,40,TT,1970-01-01 00:00:01.556125299,52,10.24,-61.45,33.0,5.7
Dikson,100,RU,1970-01-01 00:00:01.556125752,93,73.51,80.55,-18.15,6.58
Inverell,12,AU,1970-01-01 00:00:01.556125641,83,-29.78,151.11,14.44,0.89
Graaff-Reinet,78,ZA,1970-01-01 00:00:01.556125753,59,-32.25,24.53,19.05,3.15
Yulara,0,AU,1970-01-01 00:00:01.556121600,42,-25.24,130.99,17.0,3.6
Bad Oldesloe,0,DE,1970-01-01 00:00:01.556125693,40,53.81,10.37,24.0,5.1
Saraland,1,US,1970-01-01 00:00:01.556125520,73,30.82,-88.07,23.33,1.5
Aleppo,3,SY,1970-01-01 00:00:01.556125754,48,36.2,37.17,15.45,2.4
